,quality
4722,6
3774,5
2028,6
855,7
2033,5
3543,6
2686,6
2912,7
2266,5
646,4
1101,6
866,7
248,6
1535,6
4510,6
985,6
1077,5
838,8
435,5
1378,6
2730,5
599,6
1329,5
1107,7
3678,5
2932,6
1338,5
4831,6
1162,7
637,5
4352,5
839,5
2547,5
418,6
3809,6
1207,5
254,6
4341,6
3111,7
35,5
4154,5
1041,5
1071,5
4591,6
4732,6
907,6
3495,7
2749,6
683,5
87,5
84,6
4281,5
3685,6
1957,6
413,7
1434,6
1547,6
3680,6
27,6
3164,6
1651,6
4457,5
3497,6
3975,7
1523,6
4356,5
2716,5
784,5
3911,6
364,7
4290,5
3838,5
1310,6
614,5
755,7
2915,6
1094,5
2903,6
4689,6
4049,6
3652,6
62,7
1417,7
4890,6
2675,7
2169,7
834,6
3265,3
318,7
112,5
3517,7
1400,7
2672,7
350,6
3371,6
1634,6
2736,6
2233,5
3500,7
4439,5
2628,6
2652,7
508,6
1330,5
1025,6
110,5
1238,7
1042,6
768,6
4020,4
796,5
3871,6
4203,5
400,5
1994,6
717,5
1002,6
4056,5
855,7
830,6
4650,5
1005,6
1418,5
3711,6
3476,8
3226,6
4723,6
1209,6
1300,6
736,5
4694,7
3625,5
4871,6
2707,5
1321,6
537,6
2616,7
702,4
349,5
3307,3
505,6
55,6
1046,5
2921,6
1156,7
3857,6
2462,5
909,6
2371,5
1921,5
820,5
197,6
2911,5
22,8
111,5
3604,6
4703,7
1421,6
576,6
2150,6
4726,6
1120,8
58,6
259,4
240,5
3978,7
936,5
181,5
1490,6
3956,5
1150,7
4448,5
400,6
1482,4
2795,8
707,6
3074,5
368,6
2722,7
4817,6
1465,5
2938,8
2059,5
2370,7
4315,7
1261,6
4105,7
1096,6
4511,6
2665,5
663,5
449,6
1753,7
4094,7
177,5
3463,7
3590,7
1012,6
618,5
1878,6
374,7
3577,7
3261,5
4715,6
4633,6
821,7
1080,7
1200,6
109,5
910,5
4846,6
884,6
972,7
240,5
758,7
2582,7
2925,5
29,7
917,6
3993,7
3921,5
3223,6
732,5
2623,7
1485,6
990,5
1554,6
1930,6
3089,7
252,5
51,6
658,6
1897,6
3591,5
1971,7
2766,6
3230,6
1864,6
3821,6
1049,6
1740,6
2465,5
595,7
166,5
4821,6
979,5
3940,5
887,7
3238,5
4800,7
913,7
1796,5
88,5
564,6
1091,6
2231,6
1543,6
2292,6
1575,6
4494,6
351,6
4688,6
900,7
167,4
684,5
903,7
202,5
218,5
1196,6
1573,6
1234,6
2108,6
753,5
547,6
2823,6
2886,5
1311,6
39,5
3364,6
393,5
2819,6
689,5
1093,7
168,5
432,7
1294,6
3214,6
1641,6
2131,6
3811,5
1843,6
2259,6
478,5
3709,5
3932,8
237,6
1661,6
4113,6
908,6
4243,6
1286,6
3555,6
108,6
622,6
4676,6
1613,7
3263,8
1482,6
2808,6
1599,6
987,5
934,5
4387,6
3868,6
606,7
1442,5
1298,6
1551,5
1393,6
4478,5
1409,6
975,5
1472,5
1433,7
2667,7
3048,6
1255,5
28,5
1088,7
3191,6
3308,6
817,5
102,5
1572,5
3651,6
1688,3
3512,6
1577,6
568,6
713,5
2101,6
4324,6
2380,4
3017,6
3894,6
336,6
367,6
3918,7
2914,6
498,5
1903,5
3198,7
4896,7
2478,6
3185,6
4709,6
377,7
968,7
4503,7
1470,7
2544,6
4534,6
643,5
1271,5
2389,8
1167,6
362,5
2037,5
2876,5
1553,5
2586,7
1204,7
4336,8
2986,7
1078,5
1548,6
2319,7
629,5
1369,4
673,6
2697,5
762,6
668,6
285,5
1187,8
564,5
2123,5
484,5
1687,7
1045,5
3941,5
2828,7
3272,7
4882,5
2983,6
151,6
3793,6
1446,6
1351,6
1495,6
1460,6
415,5
958,7
2524,5
3509,6
1776,5
1810,6
1876,6
2541,6
1289,6
2288,5
1756,5
793,7
790,6
922,6
786,6
2188,6
1391,5
764,6
2595,5
942,7
1072,7
2494,4
1917,6
1047,5
1577,4
1161,6
464,5
2537,6
3442,7
3189,5
1109,6
1131,6
1335,6
4357,6
1293,4
2197,6
440,7
1222,6
4762,7
2340,6
3923,5
1089,7
3396,6
535,5
1087,6
4684,6
3133,6
1301,5
3113,6
2778,7
1367,6
2747,6
3042,6
2381,6
984,5
4241,6
3637,7
1525,5
1950,5
3457,7
4035,6
748,6
4170,7
2249,5
4685,5
1274,6
750,5
4547,6
2846,7
167,7
42,6
8,6
1665,8
4776,6
4012,6
4433,5
1049,6
1770,6
2691,6
75,5
1213,6
113,6
3251,6
916,7
1256,5
717,5
2936,5
422,6
352,6
4360,5
1739,4
3211,6
770,6
338,6
602,5
603,6
360,6
1200,6
4377,6
3458,7
1747,6
213,5
2234,5
2483,6
263,5
2351,6
1350,7
4260,6
1461,6
3951,5
623,6
4771,6
1905,6
796,6
3486,6
3287,7
2447,6
1585,6
4587,6
3240,6
3826,6
977,5
3098,7
1540,6
1288,5
294,3
4132,5
120,5
1065,6
4369,6
996,7
620,5
3571,4
156,6
3034,6
1239,4
840,7
4420,6
463,5
2954,7
1465,5
1069,6
2345,6
2493,4
3914,7
1647,7
1245,5
1804,6
2506,6
345,6
1487,6
524,5
3090,6
1317,6
2213,6
1888,5
2422,5
483,5
4430,5
3746,5
3863,6
860,8
1554,7
4404,5
91,5
2613,5
740,3
846,5
266,6
2399,6
297,5
4182,6
3510,6
3589,6
2082,6
919,7
3679,7
2466,5
2692,6
3980,5
2899,5
2477,7
4781,5
789,6
801,5
773,5
1439,6
115,6
3501,6
3758,5
3580,5
1318,6
3333,6
4631,7
288,7
2821,5
3884,6
2866,7
413,5
1019,5
3879,4
2291,6
4193,6
919,6
3336,6
265,7
3872,4
4481,5
1212,6
4406,7
1657,6
115,4
4521,5
3858,6
2487,6
1014,6
600,6
986,6
4891,6
2334,5
878,6
4784,5
4697,7
1102,6
4417,6
3703,6
4889,6
4802,8
315,6
2761,5
4612,5
1387,5
2168,7
1983,8
254,6
2261,6
51,7
3944,6
573,7
982,6
672,5
1277,5
462,5
4646,7
1849,6
935,5
3551,6
4602,6
76,5
279,7
4129,7
1419,7
1887,5
1380,6
2175,7
242,7
3516,7
4529,6
3087,3
3063,5
1491,5
501,7
3498,6
3064,5
1356,6
4772,5
778,5
2853,6
1944,5
420,7
633,4
4834,7
4079,6
2874,7
3763,5
1192,7
4442,5
359,6
3173,8
718,7
2844,5
4208,6
734,5
3385,6
352,5
2158,6
237,6
1490,6
1511,5
3949,5
636,7
1215,6
460,6
1302,6
1233,4
2890,8
1036,5
983,6
1507,6
883,5
3252,8
3760,6
3260,6
3080,6
3504,7
3787,5
3335,6
2407,6
311,6
4708,6
1874,5
214,6
