iter	Logloss
0	0.6756335386
1	0.6590218001
2	0.6434475287
3	0.6287564114
4	0.6148933921
5	0.601727877
6	0.5894258476
7	0.5777947592
8	0.5666500622
9	0.55610323
10	0.5464071693
11	0.5372096113
12	0.5285465606
13	0.5204328963
14	0.5127771405
15	0.5054592636
16	0.4986686292
17	0.4922619409
18	0.4861404643
19	0.4804289355
20	0.475068108
21	0.4700117065
22	0.4652422934
23	0.4605360861
24	0.4562767667
25	0.4522232564
26	0.4483560438
27	0.4447368516
28	0.4413699109
29	0.4381305253
30	0.4351250403
31	0.4323051654
32	0.4296341608
33	0.4270475782
34	0.4246764803
35	0.4224366465
36	0.420296969
37	0.4182304049
38	0.4163064791
39	0.4144813646
40	0.4124644487
41	0.4108223896
42	0.4093231042
43	0.4075523696
44	0.4062167614
45	0.4049319957
46	0.4036402095
47	0.4025120593
48	0.4014449987
49	0.4004350306
50	0.3993801773
51	0.3983150064
52	0.3973114811
53	0.3964120551
54	0.3955924744
55	0.3947331455
56	0.3938207044
57	0.3929427839
58	0.3920613017
59	0.391327734
60	0.390615894
61	0.3899806697
62	0.3894777335
63	0.3888639917
64	0.3884315386
65	0.3878947891
66	0.3874206789
67	0.387054124
68	0.3864952769
69	0.3861297701
70	0.3858154845
71	0.385339313
72	0.3850559716
73	0.3846556681
74	0.384322068
75	0.3839178991
76	0.3835372484
77	0.3833264539
78	0.3828320477
79	0.3825126732
80	0.3823360904
81	0.3820465613
82	0.3817656045
83	0.3813638271
84	0.3809722791
85	0.3806896424
86	0.3803590913
87	0.3802408332
88	0.3799947852
89	0.3797667338
90	0.3795905721
91	0.3793250734
92	0.3792356611
93	0.37910647
94	0.3789758169
95	0.3787713807
96	0.3786936768
97	0.3785852628
98	0.3784045841
99	0.3781797005
100	0.3781221718
101	0.3780675628
102	0.3779593426
103	0.3779102343
104	0.3778636126
105	0.377567888
106	0.3773510411
107	0.3770453617
108	0.3768689788
109	0.3768180438
110	0.3766134885
111	0.3764072523
112	0.3762847615
113	0.3762574715
114	0.376178217
115	0.3759791278
116	0.3758344333
117	0.3758127614
118	0.3756793591
119	0.3755852757
120	0.3754596895
121	0.3754424489
122	0.3753807895
123	0.3752608617
124	0.3750785014
125	0.3749910383
126	0.3749368364
127	0.374793881
128	0.3746268873
129	0.3745020269
130	0.3743948391
131	0.3743202365
132	0.3742082877
133	0.3740120389
134	0.3740042303
135	0.3739306812
136	0.3739228204
137	0.3738057219
138	0.3737055211
139	0.3735958708
140	0.3734587362
141	0.3733326815
142	0.3733278995
143	0.3732435161
144	0.3731504636
145	0.3729991989
146	0.3728168985
147	0.3726167562
148	0.3725279656
149	0.3723624698
150	0.3721883522
151	0.3721101113
152	0.3720625708
153	0.3720247357
154	0.3719513748
155	0.3718984613
156	0.3718699379
157	0.3717707036
158	0.3717269122
159	0.3716634939
160	0.3716550041
161	0.3716227173
162	0.3715547665
163	0.3714452685
164	0.3713611207
165	0.371333329
166	0.371303727
167	0.37124606
168	0.3711839826
169	0.371086716
170	0.3709762129
171	0.3708392583
172	0.3707847828
173	0.370717538
174	0.3706609903
175	0.3706107095
176	0.3705084142
177	0.3704323332
178	0.3703319445
179	0.3702465195
180	0.3700828379
181	0.3700494852
182	0.3699979369
183	0.3699581124
184	0.3698676284
185	0.369728274
186	0.3695957961
187	0.3695183139
188	0.3694138327
189	0.3694084185
190	0.3693511693
191	0.3693490721
