iter	Passed	Remaining
0	147	147110
1	162	81305
2	169	56340
3	189	47153
4	199	39618
5	209	34786
6	219	31077
7	328	40767
8	432	47670
9	472	46781
10	483	43492
11	516	42510
12	537	40775
13	542	38219
14	551	36212
15	595	36594
16	650	37620
17	707	38595
18	756	39063
19	771	37782
20	779	36319
21	786	34974
22	793	33703
23	807	32829
24	827	32279
25	841	31532
26	903	32541
27	1027	35668
28	1040	34829
29	1067	34526
30	1077	33691
31	1084	32816
32	1091	31997
33	1123	31923
34	1141	31468
35	1147	30728
36	1184	30821
37	1212	30694
38	1222	30120
39	1231	29550
40	1243	29091
41	1269	28965
42	1274	28357
43	1286	27957
44	1292	27422
45	1306	27092
46	1318	26731
47	1326	26316
48	1352	26242
49	1361	25866
50	1373	25564
51	1385	25261
52	1404	25091
53	1415	24792
54	1423	24452
55	1433	24158
56	1460	24164
57	1502	24405
58	1545	24649
59	1578	24736
60	1621	24959
61	1704	25780
62	1711	25461
63	1726	25242
64	1750	25178
65	1806	25566
66	1820	25354
67	1847	25327
68	1867	25199
69	1891	25125
70	1903	24910
71	1938	24980
72	1948	24746
73	1986	24861
74	1998	24653
75	2029	24678
76	2048	24555
77	2105	24891
78	2238	26102
79	2264	26038
80	2283	25913
81	2303	25786
82	2362	26099
83	2394	26109
84	2411	25955
85	2440	25936
86	2482	26048
87	2492	25826
88	2512	25714
89	2527	25560
90	2541	25387
91	2554	25214
92	2571	25074
93	2578	24852
94	2590	24682
95	2602	24505
96	2616	24360
97	2627	24179
98	2661	24223
99	2678	24105
100	2683	23886
101	2688	23665
102	2703	23540
103	2712	23367
104	2718	23172
105	2729	23021
106	2756	23008
107	2770	22878
108	2781	22735
109	2797	22637
110	2812	22527
111	2826	22409
112	2861	22463
113	2868	22290
114	2908	22380
115	2932	22345
116	2953	22286
117	2958	22114
118	2971	21995
119	2997	21984
120	3014	21895
121	3024	21765
122	3043	21696
123	3078	21750
124	3110	21776
125	3146	21824
126	3161	21730
127	3193	21752
128	3210	21674
129	3236	21661
130	3255	21594
131	3290	21640
132	3307	21563
133	3323	21480
134	3328	21325
135	3339	21218
136	3346	21077
137	3356	20964
138	3376	20917
139	3388	20812
140	3399	20710
141	3422	20677
142	3428	20544
143	3439	20445
144	3448	20334
145	3457	20222
146	3472	20151
147	3484	20056
148	3515	20078
149	3531	20013
150	3543	19925
151	3559	19855
152	3571	19772
153	3583	19684
154	3595	19602
155	3617	19573
156	3630	19493
157	3643	19415
158	3662	19370
159	3671	19277
160	3676	19160
161	3684	19059
162	3694	18972
163	3708	18904
164	3725	18852
165	3737	18775
166	3752	18719
167	3760	18623
168	3768	18528
169	3777	18442
